*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb_io_2015
*Date=09:43:42
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
128;;;51.1556;-35.1486;0;Bottom;Copper Fill15
129;;;9.1821;-37.3076;0;Bottom;Copper Fill112
130;;;16.8021;-37.3584;0;Bottom;Copper Fill290
131;;;60.8584;-36.4567;0;Bottom;Copper Fill283
132;;;28.2956;-35.1486;0;Bottom;Copper Fill6
133;;;54.9021;-37.3584;0;Bottom;Copper Fill131
134;;;48.6156;-4.6686;0;Bottom;Copper Fill234
135;;;64.4652;-1.7222;0;Bottom;Copper Fill259
136;;;20.6756;-10.4598;0;Bottom;Copper Fill70
137;;;63.2968;-22.4867;0;Bottom;Copper Fill278
138;;;28.2956;-10.4598;0;Bottom;Copper Fill73
139;;;42.2021;-2.5604;0;Bottom;Copper Fill150
140;;;15.5956;-2.2302;0;Bottom;Copper Fill241
141;;;43.5356;-35.1486;0;Bottom;Copper Fill12
142;;;17.5768;-21.2167;0;Bottom;Copper Fill268
143;;;43.5356;-32.6086;0;Bottom;Copper Fill187
144;100nF;100 mil [THT, multilayer];62.5848;-23.7124;90;Bottom;C2
145;;;54.9021;-2.5604;0;Bottom;Copper Fill130
146;;;60.8584;-3.4367;0;Bottom;Copper Fill118
147;;THT;66.3948;-17.3624;0;Bottom;PA3-31
148;;;33.3756;-32.6086;0;Bottom;Copper Fill27
149;;;28.2956;-4.6686;0;Bottom;Copper Fill101
150;;;26.9621;-37.3584;0;Bottom;Copper Fill144
151;;;67.7672;-2.027;0;Bottom;Copper Fill105
152;;;58.7756;-35.1486;0;Bottom;Copper Fill175
153;;;23.2156;-7.2086;0;Bottom;Copper Fill206
154;;;52.3621;-37.3584;0;Bottom;Copper Fill135
155;;;44.7421;-37.3584;0;Bottom;Copper Fill147
156;;;29.5021;-37.3584;0;Bottom;Copper Fill300
157;;;56.2356;-10.4598;0;Bottom;Copper Fill84
158;;;24.4221;-37.3584;0;Bottom;Copper Fill296
159;;;10.8712;-12.3267;0;Bottom;Copper Fill106
160;;;57.4421;-37.3584;0;Bottom;Copper Fill289
161;;;23.2156;-35.1486;0;Bottom;Copper Fill161
162;;;44.7421;-2.5604;0;Bottom;Copper Fill146
163;;;51.1556;-7.2086;0;Bottom;Copper Fill217
164;;;51.1556;-29.3574;0;Bottom;Copper Fill52
165;;;35.9156;-29.3574;0;Bottom;Copper Fill46
166;;;35.9156;-4.6686;0;Bottom;Copper Fill229
167;;;37.1221;-2.5604;0;Bottom;Copper Fill153
168;;;10.033;-36.4567;0;Bottom;Copper Fill272
169;;;35.9156;-32.6086;0;Bottom;Copper Fill184
170;;;3.2004;-36.4567;0;Bottom;Copper Fill121
171;;;28.2956;-4.6686;0;Bottom;Copper Fill226
172;;THT;37.1848;-31.3324;-90;Bottom;J1
173;;;34.5821;-37.3584;0;Bottom;Copper Fill304
174;;;11.7221;-13.203;0;Bottom;Copper Fill260
175;100nF;100 mil [THT, multilayer];16.8648;-22.4424;-90;Bottom;C7
176;;;47.2821;-37.3584;0;Bottom;Copper Fill297
177;;;46.0756;-7.2086;0;Bottom;Copper Fill215
178;;;49.8221;-2.5604;0;Bottom;Copper Fill138
179;;;47.2821;-37.3584;0;Bottom;Copper Fill143
180;;;56.5404;-19.2228;0;Bottom;Copper Fill64
181;;;15.5956;-32.6086;0;Bottom;Copper Fill20
182;;;66.3321;-20.696;0;Bottom;Copper Fill114
183;;;18.1356;-29.3574;0;Bottom;Copper Fill39
184;;;57.4421;-2.5604;0;Bottom;Copper Fill126
185;;;56.2356;-35.1486;0;Bottom;Copper Fill17
186;;;67.0814;-19.9467;0;Bottom;Copper Fill115
187;;;33.3756;-29.3574;0;Bottom;Copper Fill45
188;;;52.3621;-37.3584;0;Bottom;Copper Fill293
189;;;48.6156;-21.1786;0;Bottom;Copper Fill199
190;;;23.2156;-4.6686;0;Bottom;Copper Fill99
191;;;25.7556;-7.2086;0;Bottom;Copper Fill90
192;;;51.1556;-32.6086;0;Bottom;Copper Fill34
193;;THT;63.8548;-17.3624;0;Bottom;PA7-35
194;;;48.6156;-21.1786;0;Bottom;Copper Fill62
195;;;14.2621;-37.3584;0;Bottom;Copper Fill124
196;;;30.8356;-35.1486;0;Bottom;Copper Fill7
197;;;35.9156;-10.4598;0;Bottom;Copper Fill76
198;;;58.7756;-4.6686;0;Bottom;Copper Fill238
199;;;51.1556;-4.6686;0;Bottom;Copper Fill235
200;;;16.8021;-20.442;0;Bottom;Copper Fill267
201;;;56.2356;-35.1486;0;Bottom;Copper Fill174
202;;;25.7556;-35.1486;0;Bottom;Copper Fill162
203;;;20.6756;-35.1486;0;Bottom;Copper Fill3
204;;;35.9156;-35.1486;0;Bottom;Copper Fill9
205;;;35.9156;-32.6086;0;Bottom;Copper Fill28
206;;;26.9621;-37.3584;0;Bottom;Copper Fill298
207;;;48.6156;-32.6086;0;Bottom;Copper Fill189
208;;;29.5021;-2.5604;0;Bottom;Copper Fill141
209;;;21.8821;-37.3584;0;Bottom;Copper Fill294
210;;;14.2621;-37.3584;0;Bottom;Copper Fill287
211;;;18.1356;-7.2086;0;Bottom;Copper Fill87
212;;;65.1256;-18.7402;0;Bottom;Copper Fill66
213;;;9.1821;-2.6112;0;Bottom;Copper Fill111
214;;;23.2156;-7.2086;0;Bottom;Copper Fill89
215;;;13.462;-21.2167;0;Bottom;Copper Fill264
216;;;23.2156;-10.4598;0;Bottom;Copper Fill71
217;;;40.9956;-35.1486;0;Bottom;Copper Fill168
218;;;33.3756;-10.4598;0;Bottom;Copper Fill75
219;;;51.1556;-2.2302;0;Bottom;Copper Fill255
220;;;15.5956;-29.3574;0;Bottom;Copper Fill38
221;;;15.5956;-35.1486;0;Bottom;Copper Fill1
222;;;33.3756;-7.2086;0;Bottom;Copper Fill210
223;;;58.7756;-7.2086;0;Bottom;Copper Fill220
224;;THT;37.1848;-36.4124;-90;Bottom;J6
225;;;33.3756;-2.2302;0;Bottom;Copper Fill248
226;;;58.7756;-2.2302;0;Bottom;Copper Fill258
227;;;43.5356;-4.6686;0;Bottom;Copper Fill232
228;;;49.8221;-37.3584;0;Bottom;Copper Fill139
229;;;46.0756;-35.1486;0;Bottom;Copper Fill170
230;;;30.8356;-4.6686;0;Bottom;Copper Fill227
231;;;25.7556;-32.6086;0;Bottom;Copper Fill24
232;;;33.3756;-35.1486;0;Bottom;Copper Fill165
233;;THT;37.1848;-33.8724;-90;Bottom;J8
234;;;38.4556;-7.2086;0;Bottom;Copper Fill212
235;;;15.5956;-4.6686;0;Bottom;Copper Fill221
236;;;67.0814;-26.2967;0;Bottom;Copper Fill113
237;;;28.2956;-32.6086;0;Bottom;Copper Fill181
238;;;40.9956;-10.4598;0;Bottom;Copper Fill78
239;;;30.8356;-7.2086;0;Bottom;Copper Fill92
